City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
187,wailua homesteads,22.0669,-159.378,303.59,70,20,6.17,US,1691717096,30.439999999999998
188,grande prairie,55.1667,-118.8027,294.25,43,75,6.17,CA,1691717348,21.100000000000023
189,longyearbyen,78.2186,15.6401,282.06,87,100,1.54,SJ,1691717097,8.910000000000025
190,amungan,15.3652,119.9582,302.19,75,100,1.79,PH,1691717348,29.04000000000002
191,tazovsky,67.4667,78.7,278.34,60,0,9.7,RU,1691717348,5.189999999999998
192,mil'kovo,55.6078,37.7956,291.26,83,100,2.45,RU,1691717348,18.110000000000014
193,nizao,18.25,-70.2,301.19,83,100,3.11,DO,1691717348,28.04000000000002
194,nar'yan-mar,67.6713,53.087,284.5,79,5,1.07,RU,1691717349,11.350000000000023
195,ribeira grande,38.5167,-28.7,294.69,88,1,3.13,PT,1691717089,21.54000000000002
196,nabire,-3.3667,135.4833,302.51,67,23,1.27,ID,1691717349,29.360000000000014
197,iskateley,67.6803,53.1512,284.47,78,5,1.04,RU,1691717349,11.32000000000005
198,enewetak,11.3474,162.3373,301.76,76,21,5.82,MH,1691717349,28.610000000000014
199,leamington,42.0549,-82.6062,298.1,62,81,4.52,CA,1691717349,24.950000000000045
200,nova sintra,14.8667,-24.7167,295.77,75,20,4.89,CV,1691717350,22.620000000000005
201,shenjiamen,29.9576,122.298,301.68,78,82,0.68,CN,1691717350,28.53000000000003
202,amos,48.5669,-78.1162,285.94,94,95,2.24,CA,1691717087,12.79000000000002
203,mana,5.6592,-53.7767,298.9,88,11,3.89,GF,1691717350,25.75
204,armacao de buzios,-22.7469,-41.8817,295.18,87,6,8.37,BR,1691717113,22.03000000000003
205,holualoa,19.6228,-155.9522,299.06,82,75,4.63,US,1691717333,25.910000000000025
206,thompson,55.7435,-97.8558,290.24,55,100,1.03,CA,1691717182,17.090000000000032
207,shengli,37.4564,118.4856,302.82,47,0,0.36,CN,1691717351,29.670000000000016
208,sambava,-14.2667,50.1667,292.92,89,10,2.8,MG,1691717351,19.77000000000004
209,bamboo flat,11.7,92.7167,302.2,84,40,3.09,IN,1691717351,29.05000000000001
210,sibolga,1.7427,98.7792,298.55,86,99,0.72,ID,1691717351,25.400000000000034
211,kananga,-5.8958,22.4178,298.86,41,95,0.38,CD,1691717351,25.710000000000036
212,atar,20.5169,-13.0499,310.7,18,99,8.75,MR,1691717351,37.55000000000001
213,port alfred,-33.5906,26.891,292.49,48,0,4.36,ZA,1691717148,19.340000000000032
214,bentiu,9.2333,29.8333,295.75,90,100,0.5,SS,1691717352,22.600000000000023
215,svetlyy,54.675,20.1347,285.91,84,85,1.84,RU,1691717352,12.760000000000048
216,tocumen,9.0833,-79.3833,301.06,82,20,3.6,PA,1691717197,27.910000000000025
217,punta arenas,-53.15,-70.9167,275.02,78,12,4.99,CL,1691717092,1.8700000000000045
218,monticello,45.3055,-93.7941,296.6,76,0,0.0,US,1691717353,23.450000000000045
219,mount isa,-20.7333,139.5,298.02,25,6,5.66,AU,1691717353,24.870000000000005
220,labrador city,52.9463,-66.9114,288.1,77,100,1.54,CA,1691717120,14.950000000000045
221,college,64.8569,-147.8028,294.3,70,75,1.54,US,1691717145,21.150000000000034
222,margaret river,-33.95,115.0667,286.86,70,23,2.17,AU,1691717354,13.710000000000036
223,macae,-22.3708,-41.7869,295.01,90,0,3.09,BR,1691717354,21.860000000000014
224,lazaro cardenas,17.9583,-102.2,302.13,76,17,3.81,MX,1691717354,28.980000000000018
225,sucre,-19.0333,-65.2627,289.64,29,0,0.62,BO,1691717074,16.49000000000001
226,alofi,-19.0595,-169.9187,302.09,74,51,3.6,NU,1691717354,28.939999999999998
227,gornyy,55.1153,83.9059,285.76,95,100,2.9,RU,1691717354,12.610000000000014
228,verkhovazh'ye,60.7472,42.0465,289.88,90,47,1.69,RU,1691717355,16.730000000000018
229,wlodawa,51.55,23.55,286.09,83,32,1.5,PL,1691717355,12.939999999999998
230,kiunga,-6.1219,141.2906,298.74,72,99,2.46,PG,1691717355,25.590000000000032
231,al bawiti,28.3492,28.8659,297.69,54,0,3.72,EG,1691717355,24.54000000000002
232,hami,42.8,93.45,304.22,18,0,2.35,CN,1691717355,31.07000000000005
233,ghumarwin,31.45,76.7167,298.02,84,81,1.17,IN,1691717356,24.870000000000005
234,greymouth,-42.4667,171.2,279.4,83,77,1.64,NZ,1691717160,6.25
235,yangambi,0.8102,24.4336,295.16,93,100,1.41,CD,1691717356,22.010000000000048
236,belmonte,-15.8631,-38.8828,295.29,82,96,2.52,BR,1691717088,22.140000000000043
237,gurupi,-11.7292,-49.0686,299.64,36,91,2.55,BR,1691717356,26.49000000000001
238,damghan,36.1683,54.348,296.31,28,0,1.23,IR,1691717357,23.160000000000025
239,wynyard,-41.0,145.7167,285.18,82,100,3.76,AU,1691717357,12.03000000000003
240,chonchi,-42.6128,-73.8092,277.71,90,21,1.96,CL,1691717357,4.560000000000002
241,kill devil hills,36.0307,-75.676,301.47,76,75,4.63,US,1691717357,28.32000000000005
242,inhambane,-23.865,35.3833,290.71,71,60,2.99,MZ,1691717357,17.560000000000002
243,nova vicosa,-17.8919,-39.3719,295.45,80,71,2.96,BR,1691717357,22.30000000000001
244,hithadhoo,-0.6,73.0833,300.97,76,100,5.07,MV,1691717358,27.82000000000005
245,sena madureira,-9.0656,-68.6569,299.49,66,50,1.38,BR,1691717358,26.340000000000032
246,namibe,-15.1961,12.1522,288.9,84,9,4.21,AO,1691717358,15.75
247,gadzhiyevo,69.2551,33.3362,288.41,87,0,4.47,RU,1691717358,15.260000000000048
248,mexia,31.6799,-96.4822,310.81,37,0,4.12,US,1691717359,37.660000000000025
249,fang,19.9169,99.2145,296.61,94,100,1.01,TH,1691717359,23.460000000000036
250,la passe,45.5549,-0.8967,292.58,92,44,1.84,FR,1691717359,19.430000000000007
251,puerto cabezas,14.0351,-83.3888,300.37,86,100,3.42,NI,1691717359,27.220000000000027
252,roetgen,50.65,6.2,287.33,93,45,0.51,DE,1691717360,14.180000000000007
253,keetmanshoop,-26.5833,18.1333,290.66,25,45,5.14,NA,1691717360,17.510000000000048
254,melo,-32.3667,-54.1833,290.87,90,100,1.49,UY,1691717360,17.720000000000027
255,nam som,17.7704,102.1895,298.76,83,100,1.38,TH,1691717360,25.610000000000014
